ISO3,name,region,subregion
ALB,Albania,Europe,Southern Europe
ARE,United Arab Emirates,Asia,Western Asia
ARG,Argentina,Americas,Latin America and the Caribbean
ARM,Armenia,Asia,Western Asia
AUS,Australia,Oceania,Australia and New Zealand
AZE,Azerbaijan,Asia,Western Asia
BDI,Burundi,Africa,Sub-Saharan Africa
BEL,Belgium,Europe,Western Europe
BEN,Benin,Africa,Sub-Saharan Africa
BFA,Burkina Faso,Africa,Sub-Saharan Africa
BGR,Bulgaria,Europe,Eastern Europe
BHR,Bahrain,Asia,Western Asia
BIH,Bosnia and Herzegovina,Europe,Southern Europe
BLZ,Belize,Americas,Latin America and the Caribbean
BOL,Bolivia,Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Latin America and the Caribbean
BWA,Botswana,Africa,Sub-Saharan Africa
CAN,Canada,Americas,Northern America
CHE,Switzerland,Europe,Western Europe
CHL,Chile,Americas,Latin America and the Caribbean
CMR,Cameroon,Africa,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa
COL,Colombia,Americas,Latin America and the Caribbean
CRI,Costa Rica,Americas,Latin America and the Caribbean
CSK,Czechoslovakia,Europe,Eastern Europe
DEU,Germany,Europe,Western Europe
DJI,Djibouti,Africa,Sub-Saharan Africa
DMA,Dominica,Americas,Latin America and the Caribbean
DNK,Denmark,Europe,Northern Europe
ECU,Ecuador,Americas,Latin America and the Caribbean
EGY,Egypt,Africa,Northern Africa
ESP,Spain,Europe,Southern Europe
ETH,Ethiopia,Africa,Sub-Saharan Africa
FIN,Finland,Europe,Northern Europe
FRA,France,Europe,Western Europe
GAB,Gabon,Africa,Sub-Saharan Africa
GBR,United Kingdom,Europe,Northern Europe
GEO,Georgia,Asia,Western Asia
GIN,Guinea,Africa,Sub-Saharan Africa
GMB,Gambia,Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa
GRC,Greece,Europe,Southern Europe
GTM,Guatemala,Americas,Latin America and the Caribbean
GUY,Guyana,Americas,Latin America and the Caribbean
HND,Honduras,Americas,Latin America and the Caribbean
HRV,Croatia,Europe,Southern Europe
HUN,Hungary,Europe,Eastern Europe
IDN,Indonesia,Asia,South-eastern Asia
IND,India,Asia,Southern Asia
IRN,Iran,Asia,Southern Asia
ISL,Iceland,Europe,Northern Europe
ISR,Israel,Asia,Western Asia
ITA,Italy,Europe,Southern Europe
JPN,Japan,Asia,Eastern Asia
KEN,Kenia,Africa,Sub-Saharan Africa
KHM,Cambodia,Asia,South-eastern Asia
LBN,Lebanon,Asia,Western Asia
LBR,Liberia,Africa,Sub-Saharan Africa
LBY,Libya,Africa,Northern Africa
LIE,Liechtenstein,Europe,Western Europe
MEX,Mexico,Americas,Latin America and the Caribbean
MHL,Marshall Islands,Oceania,Micronesia
MKD,North Macedonia,Europe,Southern Europe
MLI,Mali,Africa,Sub-Saharan Africa
MLT,Malta,Europe,Southern Europe
MMR,Myanmar,Asia,South-eastern Asia
MYS,Malaysia,Asia,South-eastern Asia
NAM,Namibia,Africa,Sub-Saharan Africa
NER,Niger,Africa,Sub-Saharan Africa
NGA,Nigeria,Africa,Sub-Saharan Africa
NIC,Nicaragua,Americas,Latin America and the Caribbean
NLD,Netherlands,Europe,Western Europe
NOR,Norway,Europe,Northern Europe
NRU,Nauru,Oceania,Micronesia
NZL,New Zealand,Oceania,Australia and New Zealand
PAK,Pakistan,Asia,Southern Asia
PER,Peru,Americas,Latin America and the Caribbean
PRT,Portugal,Europe,Southern Europe
PRY,Paraguay,Americas,Latin America and the Caribbean
PSE,Palestine,Asia,Western Asia
QAT,Qatar,Asia,Western Asia
ROU,Romania,Europe,Eastern Europe
RUS,Russia,Europe,Eastern Europe
RWA,Rwanda,Africa,Sub-Saharan Africa
SAU,Saudi-Arabia,Asia,Western Asia
SCG,Serbia and Montenegro,Europe,Southern Europe
SEN,Senegal,Africa,Sub-Saharan Africa
SGP,Singapore,Asia,South-eastern Asia
SLV,El Salvador,Americas,Latin America and the Caribbean
SOM,Somalia,Africa,Sub-Saharan Africa
SRB,Serbia,Europe,Southern Europe
SUN,Soviet Union,Europe,Eastern Europe
SVK,Slovakia,Europe,Eastern Europe
SWE,Sweden,Europe,Northern Europe
SYR,Syrian Arab Republic,Asia,Western Asia
TCD,Chad,Africa,Sub-Saharan Africa
THA,Thailand,Asia,South-eastern Asia
TLS,Timor Leste,Asia,South-eastern Asia
TUN,Tunisia,Africa,Northern Africa
TUR,Turkey,Asia,Western Asia
UGA,Uganda,Africa,Sub-Saharan Africa
UKR,Ukraine,Europe,Eastern Europe
URY,Uruguay,Americas,Latin America and the Caribbean
USA,United States of America,Americas,Northern America
VEN,Venezuela,Americas,Latin America and the Caribbean
YUG,Yugoslavia,Europe,Southern Europe
ZAF,South Africa,Africa,Sub-Saharan Africa
